contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ORCL260612C00105000,2026-05-08T19:18:30.000Z,105.0,91.35,107.65,110.5,0.0,0.0,,2,2.7187532031,True,REGULAR,USD
ORCL260612C00110000,2026-05-08T19:18:30.000Z,110.0,86.44,102.65,105.55,0.0,0.0,60.0,12,2.5820347949,True,REGULAR,USD
ORCL260612C00115000,2026-05-08T19:10:59.000Z,115.0,81.42,97.65,100.55,0.0,0.0,146.0,16,2.4257851855,True,REGULAR,USD
ORCL260612C00120000,2026-05-29T13:33:25.000Z,120.0,92.14,92.7,95.6,0.0,0.0,4.0,17,2.3193401392,True,REGULAR,USD
ORCL260612C00125000,2026-06-05T19:15:50.000Z,125.0,86.26,87.7,90.6,22.460003,35.203766,188.0,258,2.1738326904,True,REGULAR,USD
ORCL260612C00130000,2026-06-05T17:32:30.000Z,130.0,85.07,82.7,85.65,-14.980003,-14.972517,2.0,29,2.050786123,True,REGULAR,USD
ORCL260612C00135000,2026-06-04T19:27:10.000Z,135.0,103.95,77.75,80.3,0.0,0.0,1.0,23,1.8037119189,True,REGULAR,USD
ORCL260612C00140000,2026-06-02T16:31:18.000Z,140.0,71.35,72.8,75.4,-33.92,-32.221905,17.0,11,1.7333997705,True,REGULAR,USD
ORCL260612C00145000,2026-06-05T19:15:50.000Z,145.0,66.43,67.9,70.85,-6.449997,-8.850161,125.0,22,1.7617199414,True,REGULAR,USD
ORCL260612C00146000,2026-06-04T13:31:32.000Z,146.0,81.15,66.9,69.85,0.0,0.0,1.0,3,1.7353528857,True,REGULAR,USD
ORCL260612C00148000,2026-06-05T17:03:58.000Z,148.0,67.94,64.95,67.9,-21.089996,-23.68864,100.0,20,1.7060561572,True,REGULAR,USD
ORCL260612C00149000,2026-06-04T18:50:43.000Z,149.0,88.06,63.95,66.65,0.0,0.0,21.0,46,1.6210956445,True,REGULAR,USD
ORCL260612C00150000,2026-06-05T19:55:29.000Z,150.0,64.4,63.3,65.95,-19.629997,-23.3607,27.0,69,1.7363294434,True,REGULAR,USD
ORCL260612C00152500,2026-06-05T17:57:59.000Z,152.5,58.57,60.55,63.5,-20.330002,-25.766796,35.0,51,1.6298846631,True,REGULAR,USD
ORCL260612C00155000,2026-06-04T18:53:30.000Z,155.0,60.07,58.1,61.05,-22.129997,-26.92214,21.0,48,1.5839864551,True,REGULAR,USD
ORCL260612C00157500,2026-06-05T18:53:03.000Z,157.5,53.38,55.7,58.4,-26.369999,-33.06583,24.0,78,1.5097680762,True,REGULAR,USD
ORCL260612C00160000,2026-06-05T16:44:22.000Z,160.0,54.75,53.3,56.2,-22.510002,-29.135387,42.0,114,1.5136743066,True,REGULAR,USD
ORCL260612C00162500,2026-06-05T19:31:52.000Z,162.5,50.94,50.9,53.8,-23.869999,-31.9075,31.0,107,1.4785182324,True,REGULAR,USD
ORCL260612C00165000,2026-06-05T13:35:11.000Z,165.0,53.63,48.55,51.45,-12.639996,-19.073483,14.0,143,1.4545925708,True,REGULAR,USD
ORCL260612C00167500,2026-06-05T17:23:13.000Z,167.5,47.8,46.2,49.2,-14.200001,-22.903227,3.0,40,1.4389676489,True,REGULAR,USD
ORCL260612C00170000,2026-06-05T19:47:57.000Z,170.0,44.49,43.9,46.8,-19.169998,-30.113098,40.0,262,1.4067412476,True,REGULAR,USD
ORCL260612C00172500,2026-06-05T15:09:32.000Z,172.5,49.68,41.6,44.5,-13.57,-21.454544,1.0,111,1.3815948889,True,REGULAR,USD
ORCL260612C00175000,2026-06-05T18:18:32.000Z,175.0,39.66,39.4,42.25,-18.670002,-32.007545,4.0,194,1.3669465247,True,REGULAR,USD
ORCL260612C00177500,2026-06-05T19:15:00.000Z,177.5,36.3,36.75,40.0,-19.79,-35.28258,10.0,83,1.3054233948,True,REGULAR,USD
ORCL260612C00180000,2026-06-05T19:15:00.000Z,180.0,34.18,34.7,37.2,-23.82,-41.068966,166.0,354,1.2478064954,True,REGULAR,USD
ORCL260612C00182500,2026-06-05T18:43:27.000Z,182.5,34.35,33.1,34.5,-22.5,-39.57784,24.0,118,1.2351112463,True,REGULAR,USD
ORCL260612C00185000,2026-06-05T18:42:49.000Z,185.0,32.42,30.6,33.0,-20.18,-38.36502,17.0,360,1.2382850586,True,REGULAR,USD
ORCL260612C00187500,2026-06-05T18:05:45.000Z,187.5,31.07,29.0,31.6,-19.130001,-38.10757,29.0,145,1.3005406067,True,REGULAR,USD
ORCL260612C00190000,2026-06-05T19:53:24.000Z,190.0,28.07,27.1,29.2,-20.09,-41.715115,35.0,543,1.2646521143,True,REGULAR,USD
ORCL260612C00192500,2026-06-05T14:03:54.000Z,192.5,32.85,25.25,27.35,-14.720001,-30.943874,8.0,261,1.2607458838,True,REGULAR,USD
ORCL260612C00195000,2026-06-05T19:57:46.000Z,195.0,24.75,23.6,25.55,-19.55,-44.130924,164.0,1248,1.2634314172,True,REGULAR,USD
ORCL260612C00197500,2026-06-05T18:32:38.000Z,197.5,23.57,22.3,23.85,-14.650002,-38.33072,49.0,119,1.2827184302,True,REGULAR,USD
ORCL260612C00200000,2026-06-05T19:50:21.000Z,200.0,21.45,20.9,22.2,-19.91,-48.138298,914.0,2195,1.2904088214,True,REGULAR,USD
ORCL260612C00202500,2026-06-05T18:50:42.000Z,202.5,17.7,19.4,20.05,-17.009998,-49.006046,66.0,351,1.2605017444,True,REGULAR,USD
ORCL260612C00205000,2026-06-05T19:57:34.000Z,205.0,18.68,17.95,19.2,-17.989998,-49.059174,212.0,1075,1.2907750305,True,REGULAR,USD
ORCL260612C00207500,2026-06-05T19:26:21.000Z,207.5,16.95,16.65,17.8,-16.93,-49.97048,216.0,1452,1.2935826337,True,REGULAR,USD
ORCL260612C00210000,2026-06-05T19:47:23.000Z,210.0,15.74,15.45,16.0,-16.660002,-51.419758,745.0,1796,1.2756383875,True,REGULAR,USD
ORCL260612C00212500,2026-06-05T19:57:38.000Z,212.5,14.45,14.2,14.7,-16.75,-53.685898,1459.0,279,1.2722204358,True,REGULAR,USD
ORCL260612C00215000,2026-06-05T19:59:41.000Z,215.0,13.45,13.2,13.6,-15.599999,-53.70052,1204.0,983,1.2829625696,False,REGULAR,USD
ORCL260612C00217500,2026-06-05T19:55:34.000Z,217.5,12.27,12.0,12.55,-15.459999,-55.75189,392.0,298,1.2802770361,False,REGULAR,USD
ORCL260612C00220000,2026-06-05T19:59:16.000Z,220.0,11.39,11.25,11.6,-13.11,-53.5102,2313.0,1576,1.2966343762,False,REGULAR,USD
ORCL260612C00222500,2026-06-05T19:56:37.000Z,222.5,10.4,9.85,11.15,-13.690001,-56.828564,305.0,300,1.3001743976,False,REGULAR,USD
ORCL260612C00225000,2026-06-05T19:59:40.000Z,225.0,9.55,9.5,10.3,-12.429999,-56.551407,3842.0,1211,1.3281283594,False,REGULAR,USD
ORCL260612C00227500,2026-06-05T19:58:53.000Z,227.5,8.7,8.7,9.5,-12.72,-59.383755,420.0,439,1.3322787292,False,REGULAR,USD
ORCL260612C00230000,2026-06-05T19:59:24.000Z,230.0,8.25,8.1,8.25,-10.67,-56.39535,2277.0,2013,1.3186069226,False,REGULAR,USD
ORCL260612C00232500,2026-06-05T19:59:50.000Z,232.5,7.54,7.25,7.85,-9.910001,-56.790836,425.0,486,1.3287387079,False,REGULAR,USD
ORCL260612C00235000,2026-06-05T19:57:43.000Z,235.0,6.73,6.65,7.2,-9.690001,-59.0134,1879.0,1181,1.3339877051,False,REGULAR,USD
ORCL260612C00237500,2026-06-05T19:59:50.000Z,237.5,6.42,6.1,6.75,-8.98,-58.311687,293.0,257,1.3471712329,False,REGULAR,USD
ORCL260612C00240000,2026-06-05T19:59:30.000Z,240.0,5.83,5.65,5.9,-8.22,-58.505337,2853.0,3918,1.3398470508,False,REGULAR,USD
ORCL260612C00242500,2026-06-05T19:57:42.000Z,242.5,5.1,5.1,5.5,-8.700001,-63.04348,105.0,266,1.3466829541,False,REGULAR,USD
ORCL260612C00245000,2026-06-05T19:59:28.000Z,245.0,4.88,4.7,5.05,-7.6400003,-61.022366,650.0,1057,1.3549836938,False,REGULAR,USD
ORCL260612C00247500,2026-06-05T19:49:15.000Z,247.5,4.55,4.3,4.65,-8.139999,-64.14499,124.0,792,1.3620637366,False,REGULAR,USD
ORCL260612C00250000,2026-06-05T19:59:36.000Z,250.0,4.2,4.0,4.2,-6.6500006,-61.290325,6480.0,6131,1.3681672217,False,REGULAR,USD
ORCL260612C00252500,2026-06-05T19:59:34.000Z,252.5,3.75,3.65,3.85,-7.1499996,-65.59633,178.0,118,1.3735382886,False,REGULAR,USD
ORCL260612C00255000,2026-06-05T19:58:57.000Z,255.0,3.5,3.4,3.55,-6.0,-63.15789,612.0,896,1.3850128406,False,REGULAR,USD
ORCL260612C00257500,2026-06-05T19:57:42.000Z,257.5,3.2,3.05,3.4,-6.0,-65.21739,112.0,176,1.3969756714,False,REGULAR,USD
ORCL260612C00260000,2026-06-05T19:59:21.000Z,260.0,2.92,2.86,3.1,-5.33,-64.60606,2609.0,3656,1.4067412476,False,REGULAR,USD
ORCL260612C00262500,2026-06-05T19:52:48.000Z,262.5,2.91,2.61,2.8,-4.6400003,-61.456955,257.0,112,1.4084502234,False,REGULAR,USD
ORCL260612C00265000,2026-06-05T19:54:27.000Z,265.0,2.55,2.43,2.6,-4.55,-64.08451,615.0,1326,1.4204130542,False,REGULAR,USD
ORCL260612C00267500,2026-06-05T19:41:54.000Z,267.5,2.38,2.23,2.42,-4.79,-66.80614,153.0,255,1.4294462122,False,REGULAR,USD
ORCL260612C00270000,2026-06-05T19:58:11.000Z,270.0,2.15,2.09,2.22,-3.9299998,-64.63815,1157.0,2277,1.4394559277,False,REGULAR,USD
